Force: -0.7600691787035517
Flowrate: 0.013941223012651077
Power: 0.25693674012315937
r [m]       	vel [m/s]   	Tau [N/m²]  	
    0.008325	    0.572249	     -9.4612	
    0.008350	    0.572235	     -9.4896	
    0.008375	    0.572220	     -9.5179	
    0.008400	    0.572205	     -9.5463	
    0.008425	    0.572191	     -9.5746	
    0.008450	    0.572176	     -9.6030	
    0.008475	    0.572161	     -9.6313	
    0.008500	    0.572147	     -9.6597	
    0.008525	    0.572132	     -9.6880	
    0.008550	    0.572117	     -9.7164	
    0.008575	    0.572102	     -9.7447	
    0.008600	    0.572087	     -9.7731	
    0.008625	    0.572072	     -9.8014	
    0.008650	    0.572057	     -9.8298	
    0.008675	    0.572042	     -9.8581	
    0.008700	    0.572027	     -9.8865	
    0.008725	    0.572012	     -9.9148	
    0.008750	    0.571996	     -9.9432	
    0.008775	    0.571981	     -9.9715	
    0.008800	    0.571966	     -9.9999	
    0.008825	    0.571951	    -10.0282	
    0.008850	    0.571935	    -10.0565	
    0.008875	    0.571920	    -10.0849	
    0.008900	    0.571904	    -10.1132	
    0.008925	    0.571889	    -10.1416	
    0.008950	    0.571873	    -10.1699	
    0.008975	    0.571858	    -10.1983	
    0.009000	    0.571842	    -10.2266	
    0.009025	    0.571826	    -10.2549	
    0.009050	    0.571810	    -10.2833	
    0.009075	    0.571795	    -10.3116	
    0.009100	    0.571779	    -10.3399	
    0.009125	    0.571763	    -10.3683	
    0.009150	    0.571747	    -10.3966	
    0.009175	    0.571731	    -10.4250	
    0.009200	    0.571715	    -10.4533	
    0.009225	    0.571699	    -10.4816	
    0.009250	    0.571683	    -10.5100	
    0.009275	    0.571667	    -10.5383	
    0.009300	    0.571651	    -10.5666	
    0.009325	    0.571635	    -10.5950	
    0.009350	    0.571618	    -10.6233	
    0.009375	    0.571602	    -10.6516	
    0.009400	    0.571586	    -10.6800	
    0.009425	    0.571569	    -10.7083	
    0.009450	    0.571553	    -10.7366	
    0.009475	    0.571536	    -10.7649	
    0.009500	    0.571520	    -10.7933	
    0.009525	    0.571503	    -10.8216	
    0.009550	    0.571487	    -10.8499	
    0.009575	    0.571470	    -10.8782	
    0.009600	    0.571453	    -10.9066	
    0.009625	    0.571437	    -10.9349	
    0.009650	    0.571420	    -10.9632	
    0.009675	    0.571403	    -10.9915	
    0.009700	    0.571386	    -11.0199	
    0.009725	    0.571369	    -11.0482	
    0.009750	    0.571352	    -11.0765	
    0.009775	    0.571335	    -11.1048	
    0.009800	    0.571318	    -11.1332	
    0.009825	    0.571301	    -11.1615	
    0.009850	    0.571284	    -11.1898	
    0.009875	    0.571267	    -11.2181	
    0.009900	    0.571250	    -11.2464	
    0.009925	    0.571232	    -11.2748	
    0.009950	    0.571215	    -11.3031	
    0.009975	    0.571198	    -11.3314	
    0.010000	    0.571180	    -11.3597	
    0.010025	    0.571163	    -11.3880	
    0.010050	    0.571145	    -11.4163	
    0.010075	    0.571128	    -11.4446	
    0.010100	    0.571110	    -11.4730	
    0.010125	    0.571093	    -11.5013	
    0.010150	    0.571075	    -11.5296	
    0.010175	    0.571057	    -11.5579	
    0.010200	    0.571039	    -11.5862	
    0.010225	    0.571022	    -11.6145	
    0.010250	    0.571004	    -11.6428	
    0.010275	    0.570986	    -11.6711	
    0.010300	    0.570968	    -11.6994	
    0.010325	    0.570950	    -11.7278	
    0.010350	    0.570932	    -11.7561	
    0.010375	    0.570914	    -11.7844	
    0.010400	    0.570896	    -11.8127	
    0.010425	    0.570878	    -11.8410	
    0.010450	    0.570860	    -11.8693	
    0.010475	    0.570841	    -11.8976	
    0.010500	    0.570823	    -11.9259	
    0.010525	    0.570805	    -11.9542	
    0.010550	    0.570786	    -11.9825	
    0.010575	    0.570768	    -12.0108	
    0.010600	    0.570750	    -12.0391	
    0.010625	    0.570731	    -12.0674	
    0.010650	    0.570713	    -12.0957	
    0.010675	    0.570694	    -12.1240	
    0.010700	    0.570675	    -12.1523	
    0.010725	    0.570657	    -12.1806	
    0.010750	    0.570638	    -12.2089	
    0.010775	    0.570619	    -12.2372	
    0.010800	    0.570601	    -12.2655	
    0.010825	    0.570582	    -12.2938	
    0.010850	    0.570563	    -12.3221	
    0.010875	    0.570544	    -12.3504	
    0.010900	    0.570525	    -12.3787	
    0.010925	    0.570506	    -12.4069	
    0.010950	    0.570487	    -12.4352	
    0.010975	    0.570468	    -12.4635	
    0.011000	    0.570449	    -12.4918	
    0.011025	    0.570429	    -12.5201	
    0.011050	    0.570410	    -12.5484	
    0.011075	    0.570391	    -12.5767	
    0.011100	    0.570372	    -12.6050	
    0.011125	    0.570352	    -12.6333	
    0.011150	    0.570333	    -12.6615	
    0.011175	    0.570313	    -12.6898	
    0.011200	    0.570294	    -12.7181	
    0.011225	    0.570274	    -12.7464	
    0.011250	    0.570255	    -12.7747	
    0.011275	    0.570235	    -12.8030	
    0.011300	    0.570216	    -12.8312	
    0.011325	    0.570196	    -12.8595	
    0.011350	    0.570176	    -12.8878	
    0.011375	    0.570156	    -12.9161	
    0.011400	    0.570136	    -12.9444	
    0.011425	    0.570117	    -12.9726	
    0.011450	    0.570097	    -13.0009	
    0.011475	    0.570077	    -13.0292	
    0.011500	    0.570057	    -13.0575	
    0.011525	    0.570037	    -13.0857	
    0.011550	    0.570016	    -13.1140	
    0.011575	    0.569996	    -13.1423	
    0.011600	    0.569976	    -13.1706	
    0.011625	    0.569956	    -13.1988	
    0.011650	    0.569936	    -13.2271	
    0.011675	    0.569915	    -13.2554	
    0.011700	    0.569895	    -13.2837	
    0.011725	    0.569875	    -13.3119	
    0.011750	    0.569854	    -13.3402	
    0.011775	    0.569834	    -13.3685	
    0.011800	    0.569813	    -13.3967	
