Force: -0.1754374456793037
Flowrate: 0.013932787827220754
Power: 0.07147520155364247
r [m]       	vel [m/s]   	Tau [N/m²]  	
    0.015975	    0.547208	    -15.6540	
    0.016000	    0.547184	    -15.6781	
    0.016025	    0.547160	    -15.7023	
    0.016050	    0.547136	    -15.7265	
    0.016075	    0.547111	    -15.7506	
    0.016100	    0.547087	    -15.7748	
    0.016125	    0.547062	    -15.7989	
    0.016150	    0.547038	    -15.8231	
    0.016175	    0.547013	    -15.8472	
    0.016200	    0.546989	    -15.8714	
    0.016225	    0.546964	    -15.8956	
    0.016250	    0.546939	    -15.9197	
    0.016275	    0.546915	    -15.9439	
    0.016300	    0.546890	    -15.9680	
    0.016325	    0.546865	    -15.9922	
    0.016350	    0.546840	    -16.0163	
    0.016375	    0.546815	    -16.0404	
    0.016400	    0.546791	    -16.0646	
    0.016425	    0.546766	    -16.0887	
    0.016450	    0.546741	    -16.1129	
    0.016475	    0.546716	    -16.1370	
    0.016500	    0.546691	    -16.1611	
    0.016525	    0.546666	    -16.1853	
    0.016550	    0.546640	    -16.2094	
    0.016575	    0.546615	    -16.2335	
    0.016600	    0.546590	    -16.2577	
    0.016625	    0.546565	    -16.2818	
    0.016650	    0.546540	    -16.3059	
    0.016675	    0.546514	    -16.3301	
    0.016700	    0.546489	    -16.3542	
    0.016725	    0.546464	    -16.3783	
    0.016750	    0.546438	    -16.4024	
    0.016775	    0.546413	    -16.4265	
    0.016800	    0.546387	    -16.4507	
    0.016825	    0.546362	    -16.4748	
    0.016850	    0.546336	    -16.4989	
    0.016875	    0.546310	    -16.5230	
    0.016900	    0.546285	    -16.5471	
    0.016925	    0.546259	    -16.5712	
    0.016950	    0.546233	    -16.5953	
    0.016975	    0.546207	    -16.6194	
    0.017000	    0.546182	    -16.6435	
    0.017025	    0.546156	    -16.6676	
    0.017050	    0.546130	    -16.6917	
    0.017075	    0.546104	    -16.7158	
    0.017100	    0.546078	    -16.7399	
    0.017125	    0.546052	    -16.7640	
